1045	Midsummer is one of Sweden’s most beloved holidays, and ever since pagan times Swedes have celebrated the longest day of the year, around the time of the summer solstice. Since the 1950s we have celebrated on Midsummer Eve, which is always on a Friday between June 19 and June 25. 
1046	Midsummer is one of Sweden’s most beloved holidays, and ever since pagan times Swedes have celebrated the longest day of the year, around the time of the summer solstice. Since the 1950s we have celebrated on Midsummer Eve, which is always on a Friday between June 19 and June 25. 
1047	Midsummer is one of Sweden’s most beloved holidays, and ever since pagan times Swedes have celebrated the longest day of the year, around the time of the summer solstice. Since the 1950s we have celebrated on Midsummer Eve, which is always on a Friday between June 19 and June 25. 
1048	Midsummer is one of Sweden’s most beloved holidays, and ever since pagan times Swedes have celebrated the longest day of the year, around the time of the summer solstice. Since the 1950s we have celebrated on Midsummer Eve, which is always on a Friday between June 19 and June 25. 
1049	To bake your own gingerbread is a vital part of the preparation for Christmas in Sweden. It is not necessary to do it from scratch since there is plenty of ready-made gingerbread dough to buy in the shops around Christmas. 
1050	To bake your own gingerbread is a vital part of the preparation for Christmas in Sweden. It is not necessary to do it from scratch since there is plenty of ready-made gingerbread dough to buy in the shops around Christmas. 
1051	The celebration of Lucia is a Swedish tradition. It is celebrated on the 13th of December and is traditionally celebrated with a procession with the Lucia at the front with a red band around her waist and a crown of lights in her hair. The traditional Christmas bun made with saffron is called “Lussekatt” and is eaten from beginning of Advent. 
1052	The celebration of Lucia is a Swedish tradition. It is celebrated on the 13th of December and is traditionally celebrated with a procession with the Lucia at the front with a red band around her waist and a crown of lights in her hair. The traditional Christmas bun made with saffron is called “Lussekatt” and is eaten from beginning of Advent. 
1053	At Easter Swedes get together with their families. They celebrate by painting eggs and eating traditional Easter food like eggs, fowl, fish, and lamb. Children receive cardboard Easter eggs filled with candy and dress up as colourful Easter witches. 
1054	The books about Pippi Longstocking are some of Astrid Lindgren&#039;s most beloved and widespread stories. The first book about Pippi came out in 1945 and was followed with many more books and eventually movies. The stories about the world&#039;s strongest girl can be read in more than 100 different languages. 
